iter	Passed	Remaining
464	748	860
465	749	858
466	750	856
467	751	854
468	752	851
469	753	849
470	754	847
471	755	845
472	756	843
473	758	841
474	759	839
475	760	837
476	761	835
477	762	832
478	763	830
479	765	828
480	766	826
481	767	824
482	768	822
483	769	820
484	770	818
485	772	816
486	773	814
487	774	812
488	775	810
489	776	808
490	778	806
491	779	804
492	780	802
493	781	800
494	783	798
495	784	796
496	785	794
497	786	792
498	787	790
499	789	789
500	790	787
501	791	785
502	792	783
503	793	781
504	794	779
505	795	777
506	797	775
507	798	773
508	799	771
509	801	769
510	802	768
511	803	766
512	805	764
513	806	762
514	807	760
515	809	758
516	810	756
517	811	754
518	812	753
519	814	751
520	815	749
521	816	747
522	818	746
523	819	744
524	821	742
525	822	741
526	823	739
527	824	737
528	825	735
529	827	733
530	828	731
531	829	729
532	830	727
533	832	726
534	833	724
535	835	723
536	836	721
537	838	720
538	839	717
539	840	716
540	841	714
541	843	712
542	844	710
543	846	709
544	847	707
545	849	705
546	850	704
547	851	702
548	853	700
549	854	699
550	855	697
551	856	695
552	858	693
553	859	692
554	861	690
555	862	688
556	863	686
557	864	684
558	865	683
559	866	681
560	867	679
561	868	677
562	870	675
563	871	673
564	872	671
565	873	670
566	875	668
567	876	666
568	877	664
569	879	663
570	880	661
571	881	659
572	883	658
573	884	656
574	885	654
575	886	652
576	888	651
577	889	649
578	890	647
579	891	645
580	892	643
581	893	642
582	895	640
583	896	638
584	897	636
585	898	635
586	899	633
587	900	631
588	901	629
589	902	627
590	903	625
591	905	624
592	906	622
593	907	620
594	909	618
595	910	617
596	911	615
597	913	613
598	914	611
599	915	610
600	916	608
601	917	606
602	919	605
603	921	603
604	922	602
605	924	600
606	925	599
607	926	597
608	928	595
609	929	594
610	930	592
611	931	590
612	933	589
613	934	587
614	935	585
615	936	583
616	937	582
617	939	580
618	940	578
619	941	577
620	942	575
621	943	573
622	944	571
623	946	570
624	947	568
625	948	566
626	949	564
627	951	563
628	952	561
629	954	560
630	955	558
631	957	557
632	958	555
633	959	554
634	960	552
635	962	550
636	963	549
637	964	547
638	966	545
639	967	543
640	968	542
641	969	540
642	970	538
643	971	537
644	972	535
645	974	533
646	975	532
647	976	530
648	976	528
649	977	526
650	979	524
651	980	523
652	981	521
653	982	519
654	984	518
655	985	516
656	986	514
657	987	513
658	988	511
659	989	509
660	990	508
661	991	506
662	993	504
663	994	503
664	995	501
665	996	499
666	997	498
667	998	496
668	1000	494
669	1001	493
670	1002	491
671	1003	489
672	1004	488
673	1006	486
674	1007	485
675	1009	483
676	1010	482
677	1012	480
678	1013	479
679	1015	477
680	1016	476
681	1017	474
682	1018	472
683	1020	471
684	1021	469
685	1022	467
686	1023	466
687	1024	464
688	1026	463
689	1028	461
690	1029	460
691	1030	458
692	1031	457
693	1032	455
694	1033	453
695	1034	451
696	1036	450
697	1037	448
698	1038	447
699	1040	445
700	1041	444
701	1042	442
702	1044	441
703	1046	439
704	1047	438
705	1048	436
706	1049	435
707	1050	433
708	1052	431
709	1053	430
710	1056	429
711	1057	427
712	1060	426
713	1062	425
714	1063	424
715	1066	422
716	1067	421
717	1070	420
718	1071	418
719	1072	417
720	1073	415
721	1075	413
722	1076	412
723	1077	410
724	1078	408
725	1079	407
726	1084	407
727	1086	405
728	1087	404
729	1089	402
730	1090	401
731	1091	399
732	1093	398
733	1096	397
734	1098	395
735	1100	394
736	1101	393
737	1103	391
738	1104	390
739	1105	388
740	1107	386
741	1108	385
742	1110	384
743	1111	382
744	1112	380
745	1114	379
746	1115	377
747	1116	376
748	1118	374
749	1119	373
750	1120	371
751	1122	370
752	1123	368
753	1124	367
754	1126	365
755	1128	364
756	1129	362
757	1131	361
758	1133	359
759	1134	358
760	1136	356
761	1138	355
762	1142	354
763	1143	353
764	1144	351
765	1146	350
766	1147	348
767	1148	346
768	1149	345
769	1150	343
770	1152	342
771	1153	340
772	1155	339
773	1157	337
774	1158	336
775	1159	334
776	1160	333
777	1161	331
778	1163	330
779	1164	328
780	1165	326
781	1166	325
782	1168	323
783	1169	322
784	1170	320
785	1172	319
786	1173	317
787	1174	315
788	1175	314
789	1176	312
790	1177	311
791	1179	309
792	1181	308
793	1183	307
794	1184	305
795	1186	303
796	1188	302
797	1189	301
798	1190	299
799	1191	297
800	1193	296
801	1196	295
802	1197	293
803	1200	292
804	1202	291
805	1203	289
806	1204	288
807	1205	286
808	1207	285
809	1208	283
810	1209	281
811	1211	280
812	1212	278
813	1214	277
814	1217	276
815	1219	275
816	1221	273
817	1222	271
818	1223	270
819	1224	268
820	1225	267
821	1226	265
822	1228	264
823	1229	262
824	1230	260
825	1231	259
826	1232	257
827	1234	256
828	1235	254
829	1237	253
830	1238	251
831	1239	250
832	1241	248
833	1247	248
834	1249	246
835	1250	245
836	1251	243
837	1252	242
838	1253	240
839	1255	239
840	1256	237
841	1257	235
842	1259	234
843	1260	233
844	1261	231
845	1263	229
846	1264	228
847	1266	226
848	1268	225
849	1269	224
850	1271	222
851	1275	221
852	1276	219
853	1277	218
854	1278	216
855	1279	215
856	1280	213
857	1281	212
858	1282	210
859	1283	208
860	1284	207
861	1285	205
862	1287	204
863	1288	202
864	1289	201
865	1290	199
866	1291	198
867	1293	196
868	1294	195
869	1295	193
870	1298	192
871	1299	190
872	1300	189
873	1301	187
874	1302	186
875	1303	184
876	1304	182
877	1306	181
878	1307	179
879	1308	178
880	1309	176
881	1310	175
882	1311	173
883	1312	172
884	1313	170
885	1313	169
886	1315	167
887	1316	165
888	1317	164
889	1318	162
890	1319	161
891	1320	159
892	1321	158
893	1322	156
894	1323	155
895	1324	153
896	1325	152
897	1326	150
898	1327	149
899	1328	147
900	1329	146
901	1330	144
902	1331	143
903	1332	141
904	1334	140
905	1335	138
906	1337	137
907	1338	135
908	1339	134
909	1340	132
910	1341	131
911	1342	129
912	1344	128
913	1345	126
914	1346	125
915	1347	123
916	1349	122
917	1350	120
918	1351	119
919	1352	117
920	1353	116
921	1354	114
922	1355	113
923	1356	111
924	1358	110
925	1359	108
926	1360	107
927	1361	105
928	1363	104
929	1365	102
930	1367	101
931	1368	99
932	1369	98
933	1371	96
934	1372	95
935	1374	93
936	1375	92
937	1376	90
938	1377	89
939	1378	88
940	1380	86
941	1381	85
942	1382	83
943	1383	82
944	1384	80
945	1386	79
946	1387	77
947	1389	76
948	1390	74
949	1391	73
950	1392	71
951	1393	70
952	1394	68
953	1396	67
954	1397	65
955	1398	64
956	1399	62
957	1401	61
958	1402	59
959	1403	58
960	1405	57
961	1406	55
962	1407	54
963	1409	52
964	1410	51
965	1411	49
966	1412	48
967	1413	46
968	1414	45
969	1415	43
970	1417	42
971	1418	40
972	1419	39
973	1420	37
974	1422	36
975	1423	34
976	1424	33
977	1425	32
978	1426	30
979	1427	29
980	1428	27
981	1429	26
982	1430	24
983	1432	23
984	1433	21
985	1435	20
986	1436	18
987	1437	17
988	1438	16
989	1439	14
990	1440	13
991	1442	11
992	1443	10
993	1444	8
994	1445	7
995	1446	5
996	1447	4
997	1448	2
998	1449	1
999	1450	0
